home_win_rate,away_win_rate,home_avg_goals,away_avg_goals,home_last5_points,away_last5_points,home_form,away_form,home_goal_difference,away_goal_difference,home_avg_conceded,away_avg_conceded,home_avg_shots,away_avg_shots,home_streak,away_streak,target
0.8,0.2,1.2,0.4,13,4,6,4,1.0,-0.7999999999999999,0.2,1.2,9.2,10.8,0,-1,H
0.0,0.6,0.4,1.4,0,9,0,6,-1.4,0.19999999999999996,1.8,1.2,10.8,10.6,-5,-2,A
0.6,0.4,1.8,1.2,11,8,9,3,1.0,0.3999999999999999,0.8,0.8,13.2,13.8,0,1,H
0.2,0.4,0.4,1.2,4,6,3,3,-0.6,-0.19999999999999996,1.0,1.4,11.0,12.4,1,-2,A
0.2,0.6,1.0,2.2,6,10,3,4,0.0,0.8000000000000003,1.0,1.4,9.6,10.6,0,-1,A
0.2,0.6,0.8,1.2,4,9,1,3,-1.4000000000000001,0.0,2.2,1.2,15.2,12.0,-1,-1,A
0.4,0.2,1.0,1.6,7,3,4,3,-0.3999999999999999,-0.6000000000000001,1.4,2.2,12.4,15.4,-1,-2,A
0.4,0.2,1.0,0.4,7,3,3,0,-0.19999999999999996,-1.4,1.2,1.8,8.4,11.0,1,-1,H
0.8,0.6,2.0,1.8,12,10,3,3,1.0,1.2000000000000002,1.0,0.6,13.6,16.0,4,2,D
0.2,0.8,1.2,2.4,4,13,0,6,-0.6000000000000001,2.0,1.8,0.4,11.8,16.8,0,1,H
0.6,0.0,2.2,0.4,10,0,3,0,0.6000000000000001,-1.4,1.6,1.8,10.2,9.0,1,-5,H
0.4,0.8,1.8,1.4,6,13,3,4,0.40000000000000013,1.2,1.4,0.2,13.2,8.6,1,1,D
0.4,0.6,1.2,2.2,6,11,3,2,-0.19999999999999996,1.6,1.4,0.6,11.2,12.0,-1,1,D
0.2,0.2,0.4,0.4,4,5,0,1,-0.9999999999999999,-1.4,1.4,1.8,10.6,7.2,-2,0,A
0.6,0.2,1.6,1.0,9,5,3,3,0.20000000000000018,-0.19999999999999996,1.4,1.2,12.0,11.0,1,-1,H
0.2,0.6,0.6,1.8,4,10,1,3,-1.0,1.2000000000000002,1.6,0.6,12.6,16.0,-2,-1,H
0.4,0.2,1.6,0.6,8,3,7,0,1.0,-1.2000000000000002,0.6,1.8,14.6,11.6,0,-2,D
0.8,0.4,1.4,2.0,12,7,6,3,0.3999999999999999,0.8,1.0,1.2,15.0,14.2,1,0,D
